Question,Answer,Difficulty,Topic
"Two Sum: Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.","Use hash map to store complement values. For each number, check if target-num exists in map. Time: O(n), Space: O(n)","Easy","Arrays"
"Reverse Linked List: Given the head of a singly linked list, reverse the list and return the reversed list.","Iteratively reverse pointers: prev=None, while curr: next=curr.next, curr.next=prev, prev=curr, curr=next. Time: O(n), Space: O(1)","Easy","Linked Lists"
"Valid Parentheses: Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.","Use stack. Push opening brackets, pop and match closing brackets. Valid if stack empty at end. Time: O(n), Space: O(n)","Easy","Stack"
"Maximum Subarray: Given an integer array nums, find the contiguous subarray with the largest sum and return its sum.","Kadane's algorithm: max_sum = nums[0], current_sum = nums[0]. For each element, current_sum = max(num, current_sum + num). Time: O(n), Space: O(1)","Easy","Dynamic Programming"
"Merge Two Sorted Lists: Merge two sorted linked lists and return it as a sorted list.","Use two pointers, compare values and link smaller node. Handle remaining nodes. Time: O(m+n), Space: O(1)","Easy","Linked Lists"
"Best Time to Buy and Sell Stock: Given array of prices, find maximum profit from one transaction.","Track minimum price seen so far and maximum profit. profit = max(profit, price - min_price). Time: O(n), Space: O(1)","Easy","Arrays"
"Valid Palindrome: Given a string s, return true if it is a palindrome.","Two pointers from start and end, skip non-alphanumeric, compare characters ignoring case. Time: O(n), Space: O(1)","Easy","Two Pointers"
"Invert Binary Tree: Given the root of a binary tree, invert the tree and return its root.","Recursively swap left and right children for each node. Base case: if root is null return null. Time: O(n), Space: O(h)","Easy","Binary Tree"
"Binary Search: Given a sorted array nums and target value, return index of target or -1.","left=0, right=len-1. While left<=right: mid=(left+right)//2, compare nums[mid] with target. Time: O(log n), Space: O(1)","Easy","Binary Search"
"Climbing Stairs: You are climbing a staircase with n steps. Each time you can climb 1 or 2 steps. How many distinct ways?","Dynamic programming: dp[i] = dp[i-1] + dp[i-2]. Base cases: dp[1]=1, dp[2]=2. Time: O(n), Space: O(1)","Easy","Dynamic Programming"
"Longest Substring Without Repeating Characters: Find length of longest substring without repeating characters.","Sliding window with hash set. Expand window by moving right pointer, shrink by moving left when duplicate found. Time: O(n), Space: O(min(m,n))","Medium","Sliding Window"
"Add Two Numbers: Add two numbers represented as linked lists and return sum as linked list.","Traverse both lists simultaneously, handle carry. Create new nodes for result. Time: O(max(m,n)), Space: O(max(m,n))","Medium","Linked Lists"
"3Sum: Given array nums, return all unique triplets that sum to zero.","Sort array, use three pointers. Fix first element, use two pointers for remaining. Skip duplicates. Time: O(n²), Space: O(1)","Medium","Two Pointers"
"Container With Most Water: Find two lines that form container holding most water.","Two pointers at start and end. Move pointer with smaller height inward. Track maximum area. Time: O(n), Space: O(1)","Medium","Two Pointers"
"Group Anagrams: Given array of strings, group anagrams together.","Use sorted string as key in hash map. Group strings with same sorted key. Time: O(n*k*log k), Space: O(n*k)","Medium","Hash Table"
"Valid Sudoku: Determine if 9x9 Sudoku board is valid.","Use hash sets to track seen numbers in rows, columns, and 3x3 boxes. Check duplicates. Time: O(1), Space: O(1)","Medium","Hash Table"
"Search in Rotated Sorted Array: Search target in rotated sorted array.","Modified binary search. Determine which half is sorted, then check if target is in that range. Time: O(log n), Space: O(1)","Medium","Binary Search"
"Find Minimum in Rotated Sorted Array: Find minimum element in rotated sorted array.","Binary search. If nums[mid] > nums[right], minimum is in right half, else in left half. Time: O(log n), Space: O(1)","Medium","Binary Search"
"Kth Largest Element in Array: Find kth largest element in unsorted array.","Use quickselect algorithm or min heap of size k. Quickselect average O(n), heap O(n log k)","Medium","Heap"
"Top K Frequent Elements: Given array, return k most frequent elements.","Use hash map for frequency, then min heap or bucket sort. Time: O(n log k), Space: O(n)","Medium","Heap"
"Merge Intervals: Given array of intervals, merge overlapping intervals.","Sort intervals by start time. Merge overlapping intervals by comparing end times. Time: O(n log n), Space: O(1)","Medium","Intervals"
"Insert Interval: Insert new interval into sorted non-overlapping intervals.","Find position to insert, merge overlapping intervals on left and right. Time: O(n), Space: O(1)","Medium","Intervals"
"Rotate Image: Rotate n×n 2D matrix by 90 degrees clockwise in-place.","Transpose matrix (swap matrix[i][j] with matrix[j][i]), then reverse each row. Time: O(n²), Space: O(1)","Medium","Matrix"
"Spiral Matrix: Return all elements of matrix in spiral order.","Use four boundaries (top, bottom, left, right) and move in spiral pattern. Time: O(m*n), Space: O(1)","Medium","Matrix"
"Jump Game: Given array where each element represents max jump length, determine if you can reach last index.","Greedy approach: track farthest reachable position. If current index > farthest, return false. Time: O(n), Space: O(1)","Medium","Greedy"
"Unique Paths: Robot moves from top-left to bottom-right in m×n grid. How many unique paths?","Dynamic programming: dp[i][j] = dp[i-1][j] + dp[i][j-1]. Time: O(m*n), Space: O(m*n) or O(n)","Medium","Dynamic Programming"
"Coin Change: Find minimum coins needed to make amount using given coin denominations.","Dynamic programming: dp[i] = min(dp[i], dp[i-coin] + 1) for each coin. Time: O(amount * coins), Space: O(amount)","Medium","Dynamic Programming"
"Longest Increasing Subsequence: Find length of longest strictly increasing subsequence.","Dynamic programming with binary search. Use tails array to track smallest tail for each length. Time: O(n log n), Space: O(n)","Medium","Dynamic Programming"
"House Robber: Rob houses to maximize money without robbing adjacent houses.","Dynamic programming: dp[i] = max(dp[i-1], dp[i-2] + nums[i]). Time: O(n), Space: O(1)","Medium","Dynamic Programming"
"Product of Array Except Self: Return array where output[i] equals product of all elements except nums[i].","Two passes: left products, then right products. Avoid division. Time: O(n), Space: O(1)","Medium","Arrays"
"Maximum Product Subarray: Find contiguous subarray with largest product.","Track both max and min products (for negative numbers). Time: O(n), Space: O(1)","Medium","Dynamic Programming"
"Find Peak Element: Find peak element in array where nums[i] > nums[i-1] and nums[i] > nums[i+1].","Binary search: if nums[mid] < nums[mid+1], peak is on right, else on left. Time: O(log n), Space: O(1)","Medium","Binary Search"
"Search 2D Matrix: Search target in m×n matrix where each row and column is sorted.","Start from top-right corner. If target < current, move left. If target > current, move down. Time: O(m+n), Space: O(1)","Medium","Matrix"
"Set Matrix Zeroes: Set entire row and column to 0 if element is 0.","Use first row and column as markers. Handle first row/column separately. Time: O(m*n), Space: O(1)","Medium","Matrix"
"Minimum Window Substring: Find minimum window substring containing all characters of string t.","Sliding window with hash maps. Expand window until valid, then contract to find minimum. Time: O(s+t), Space: O(s+t)","Hard","Sliding Window"
"Trapping Rain Water: Calculate how much water can be trapped after raining.","Two pointers approach. Track max height from left and right. Water level = min(left_max, right_max). Time: O(n), Space: O(1)","Hard","Two Pointers"
"Median of Two Sorted Arrays: Find median of two sorted arrays.","Binary search on smaller array. Partition arrays such that left half ≤ right half. Time: O(log(min(m,n))), Space: O(1)","Hard","Binary Search"
"Merge k Sorted Lists: Merge k sorted linked lists and return as one sorted list.","Use min heap or divide and conquer. Heap: Time O(n log k), D&C: Time O(n log k), Space O(log k)","Hard","Heap"
"Largest Rectangle in Histogram: Find area of largest rectangle in histogram.","Use stack to store indices. For each bar, pop smaller bars and calculate area. Time: O(n), Space: O(n)","Hard","Stack"
"Sliding Window Maximum: Find maximum in each sliding window of size k.","Use deque to store indices in decreasing order of values. Time: O(n), Space: O(k)","Hard","Sliding Window"
"Edit Distance: Find minimum operations to convert word1 to word2.","Dynamic programming: dp[i][j] = min(insert, delete, replace). Time: O(m*n), Space: O(m*n)","Hard","Dynamic Programming"
"Regular Expression Matching: Implement regex matching with '.' and '*'.","Dynamic programming: handle '.' as any character, '*' as zero or more of preceding. Time: O(m*n), Space: O(m*n)","Hard","Dynamic Programming"
"Wildcard Matching: Implement wildcard matching with '?' and '*'.","Dynamic programming: '?' matches any single character, '*' matches any sequence. Time: O(m*n), Space: O(m*n)","Hard","Dynamic Programming"
"Longest Valid Parentheses: Find length of longest valid parentheses substring.","Use stack to store indices or dynamic programming. Track valid parentheses positions. Time: O(n), Space: O(n)","Hard","Stack"
"First Missing Positive: Find smallest missing positive integer.","Place each number at its correct position (nums[i] should be at index i-1). Time: O(n), Space: O(1)","Hard","Arrays"
