Question,Answer,Difficulty,Topic
"What is the time complexity of binary search?","O(log n)","Medium","Algorithms"
"Explain how a hash table works","Uses hash function to map keys to array indices for O(1) average lookup","Easy","Data Structures"
"What is the difference between a stack and a queue?","Stack is LIFO (Last In First Out), Queue is FIFO (First In First Out)","Easy","Data Structures"
"How do you reverse a linked list?","Iterate through list, reverse pointers by keeping track of previous, current, and next nodes","Medium","Algorithms"
"What is Big O notation?","Mathematical notation to describe the upper bound of algorithm complexity","Easy","Algorithms"
"What is a binary tree?","A tree data structure where each node has at most two children","Easy","Data Structures"
"Explain quicksort algorithm","Divide-and-conquer algorithm that picks a pivot and partitions array around it","Medium","Algorithms"
"What is the difference between Array and ArrayList?","Array has fixed size, ArrayList is dynamic and resizable","Easy","Data Structures"
"What is a deadlock?","Situation where two or more processes are blocked forever, waiting for each other","Medium","Operating Systems"
"Explain merge sort","Divide-and-conquer algorithm that divides array in half, sorts each half, then merges","Medium","Algorithms"
"What is polymorphism?","Ability of objects to take multiple forms, same interface different implementations","Easy","OOP"
"What is encapsulation?","Bundling data and methods together, hiding internal implementation details","Easy","OOP"
"What is inheritance?","Mechanism where new class inherits properties and methods from existing class","Easy","OOP"
"What is abstraction?","Hiding complex implementation details while showing only essential features","Easy","OOP"
"What is a heap?","Complete binary tree where parent nodes are greater/less than children","Medium","Data Structures"
"Explain bubble sort","Simple sorting algorithm that repeatedly swaps adjacent elements if in wrong order","Easy","Algorithms"
"What is a graph?","Collection of nodes (vertices) connected by edges","Easy","Data Structures"
"What is DFS?","Depth-First Search - explores as far as possible along each branch before backtracking","Medium","Algorithms"
"What is BFS?","Breadth-First Search - explores all neighbors at current depth before moving deeper","Medium","Algorithms"
"What is a trie?","Tree-like data structure used to store strings, each node represents a character","Medium","Data Structures"
"What is dynamic programming?","Optimization technique that solves complex problems by breaking into simpler subproblems","Hard","Algorithms"
"What is memoization?","Optimization technique that stores results of expensive function calls","Medium","Algorithms"
"What is recursion?","Function that calls itself to solve smaller instances of the same problem","Easy","Algorithms"
"What is a balanced binary tree?","Binary tree where height difference between left and right subtrees is at most 1","Medium","Data Structures"
"What is an AVL tree?","Self-balancing binary search tree where heights of subtrees differ by at most 1","Hard","Data Structures"
"What is a red-black tree?","Self-balancing binary search tree with color properties to maintain balance","Hard","Data Structures"
"What is a B-tree?","Self-balancing tree data structure that maintains sorted data for efficient searches","Hard","Data Structures"
"What is hashing?","Technique to map data to fixed-size values using a hash function","Easy","Data Structures"
"What is collision in hashing?","When two different keys produce the same hash value","Medium","Data Structures"
"What is chaining in hash tables?","Collision resolution technique using linked lists at each hash table slot","Medium","Data Structures"
"What is open addressing?","Collision resolution technique that finds next available slot in hash table","Medium","Data Structures"
"What is linear probing?","Open addressing technique that checks next slot linearly until empty slot found","Medium","Data Structures"
"What is quadratic probing?","Open addressing technique that uses quadratic function to find next slot","Medium","Data Structures"
"What is double hashing?","Open addressing technique using second hash function for probing","Hard","Data Structures"
"What is a priority queue?","Abstract data type where elements have priorities and highest priority served first","Medium","Data Structures"
"What is Dijkstra's algorithm?","Algorithm to find shortest path from source to all vertices in weighted graph","Hard","Algorithms"
"What is Bellman-Ford algorithm?","Algorithm to find shortest path that can handle negative edge weights","Hard","Algorithms"
"What is Floyd-Warshall algorithm?","Algorithm to find shortest paths between all pairs of vertices","Hard","Algorithms"
"What is Kruskal's algorithm?","Greedy algorithm to find minimum spanning tree by sorting edges","Hard","Algorithms"
"What is Prim's algorithm?","Greedy algorithm to find minimum spanning tree by growing tree from vertex","Hard","Algorithms"
"What is topological sorting?","Linear ordering of vertices in directed acyclic graph","Medium","Algorithms"
"What is a strongly connected component?","Maximal set of vertices where every vertex is reachable from every other vertex","Hard","Algorithms"
"What is the knapsack problem?","Optimization problem to maximize value while staying within weight constraint","Hard","Algorithms"
"What is the traveling salesman problem?","Optimization problem to find shortest route visiting all cities once","Hard","Algorithms"
"What is greedy algorithm?","Algorithm that makes locally optimal choice at each step","Medium","Algorithms"
"What is divide and conquer?","Algorithm design paradigm that breaks problem into smaller subproblems","Medium","Algorithms"
"What is backtracking?","Algorithm that incrementally builds solutions and abandons invalid paths","Medium","Algorithms"
"What is branch and bound?","Algorithm design technique for optimization problems using bounding functions","Hard","Algorithms"
"What is a suffix tree?","Compressed trie containing all suffixes of a given text","Hard","Data Structures"
"What is a suffix array?","Sorted array of all suffixes of a string","Hard","Data Structures"
"What is KMP algorithm?","String matching algorithm that uses failure function to avoid redundant comparisons","Hard","Algorithms"
"What is Rabin-Karp algorithm?","String matching algorithm using rolling hash for pattern searching","Medium","Algorithms"
"What is Boyer-Moore algorithm?","String matching algorithm that skips characters based on mismatch information","Hard","Algorithms"
"What is a segment tree?","Tree data structure for storing intervals and allows querying which segments contain a point","Hard","Data Structures"
"What is a Fenwick tree?","Data structure that can efficiently calculate prefix sums in O(log n) time","Hard","Data Structures"
"What is union-find?","Data structure that keeps track of elements partitioned into disjoint sets","Medium","Data Structures"
"What is path compression?","Optimization technique in union-find to flatten tree structure","Medium","Data Structures"
"What is amortized analysis?","Method of analyzing algorithms that considers average performance over sequence of operations","Hard","Algorithms"
"What is a skip list?","Probabilistic data structure that allows fast search within ordered sequence","Hard","Data Structures"
"What is consistent hashing?","Hashing technique that minimizes remapping when hash table is resized","Hard","Data Structures"
"What is bloom filter?","Space-efficient probabilistic data structure to test set membership","Hard","Data Structures"
"What is a thread?","Lightweight process that can run concurrently with other threads","Easy","Operating Systems"
"What is a process?","Instance of a program in execution with its own memory space","Easy","Operating Systems"
"What is context switching?","Process of storing and restoring state of process or thread","Medium","Operating Systems"
"What is mutual exclusion?","Requirement that only one process can access critical section at a time","Medium","Operating Systems"
"What is a semaphore?","Synchronization primitive that controls access to shared resources","Medium","Operating Systems"
"What is a mutex?","Mutual exclusion object that allows only one thread to access resource","Medium","Operating Systems"
"What is race condition?","Situation where outcome depends on timing of uncontrollable events","Medium","Operating Systems"
"What is critical section?","Part of program where shared resources are accessed","Medium","Operating Systems"
"What is virtual memory?","Memory management technique that provides illusion of large memory space","Medium","Operating Systems"
"What is paging?","Memory management scheme that eliminates need for contiguous allocation","Medium","Operating Systems"
"What is segmentation?","Memory management technique that divides memory into variable-sized segments","Medium","Operating Systems"
"What is thrashing?","Situation where system spends more time swapping pages than executing","Hard","Operating Systems"
"What is page replacement?","Process of selecting which page to remove when memory is full","Medium","Operating Systems"
"What is LRU?","Least Recently Used - page replacement algorithm that removes least recently used page","Medium","Operating Systems"
"What is FIFO page replacement?","First In First Out - removes oldest page in memory","Easy","Operating Systems"
"What is optimal page replacement?","Theoretical algorithm that removes page that will be used farthest in future","Medium","Operating Systems"
"What is scheduling?","Process of deciding which process runs next on CPU","Easy","Operating Systems"
"What is round-robin scheduling?","Preemptive scheduling algorithm that assigns time slices to processes","Easy","Operating Systems"
"What is priority scheduling?","Scheduling algorithm that assigns priorities to processes","Easy","Operating Systems"
"What is shortest job first?","Scheduling algorithm that selects process with smallest execution time","Medium","Operating Systems"
"What is a database index?","Data structure that improves speed of data retrieval operations","Easy","Databases"
"What is normalization?","Process of organizing data to reduce redundancy and improve integrity","Medium","Databases"
"What is denormalization?","Process of adding redundancy to improve query performance","Medium","Databases"
"What is ACID?","Atomicity, Consistency, Isolation, Durability - properties of database transactions","Medium","Databases"
"What is a transaction?","Unit of work performed against database that is treated as single logical unit","Easy","Databases"
"What is SQL injection?","Code injection technique that exploits vulnerabilities in database queries","Medium","Security"
"What is a primary key?","Column or combination of columns that uniquely identifies each row","Easy","Databases"
"What is a foreign key?","Column that creates link between two tables","Easy","Databases"
"What is a join?","Operation that combines rows from two or more tables based on related column","Easy","Databases"
"What is inner join?","Join that returns records with matching values in both tables","Easy","Databases"
"What is left join?","Join that returns all records from left table and matched records from right","Easy","Databases"
"What is right join?","Join that returns all records from right table and matched records from left","Easy","Databases"
"What is full outer join?","Join that returns all records when there is match in either table","Medium","Databases"
"What is NoSQL?","Database that provides mechanism for storage and retrieval of non-relational data","Easy","Databases"
"What is MongoDB?","Document-oriented NoSQL database that stores data in JSON-like documents","Easy","Databases"
"What is Redis?","In-memory data structure store used as database, cache, and message broker","Medium","Databases"
"What is CAP theorem?","Theorem stating distributed system can only guarantee two of Consistency, Availability, Partition tolerance","Hard","Databases"
"What is eventual consistency?","Consistency model where system will become consistent over time","Medium","Databases"
"What is sharding?","Database architecture pattern that horizontally partitions data across multiple databases","Hard","Databases"
"What is replication?","Process of copying and maintaining database objects in multiple databases","Medium","Databases"
"What is HTTP?","Hypertext Transfer Protocol - application protocol for distributed hypermedia systems","Easy","Networking"
"What is HTTPS?","HTTP Secure - HTTP over SSL/TLS encryption","Easy","Networking"
"What is REST?","Representational State Transfer - architectural style for designing web services","Medium","Networking"
"What is API?","Application Programming Interface - set of protocols for building software applications","Easy","Networking"
"What is JSON?","JavaScript Object Notation - lightweight data interchange format","Easy","Networking"
"What is XML?","Extensible Markup Language - markup language for encoding documents","Easy","Networking"
"What is TCP?","Transmission Control Protocol - reliable, connection-oriented transport protocol","Medium","Networking"
"What is UDP?","User Datagram Protocol - connectionless, unreliable transport protocol","Medium","Networking"
"What is DNS?","Domain Name System - hierarchical naming system for computers and services","Medium","Networking"
